2024-06-13 11:14:02,80.0,80.0,80.0,80.0,80.0,80.0,80.0,79.0,78.0,75.0,73.0,71.0,68.0,65.0,62.0,59.0,55.0,51.0,47.0,42.0,37.0,32.0,27.0,22.0,16.0,11.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,12.0,29.0,38.0,46.0,54.0,61.0,66.0,70.0,74.0,77.0,79.0,81.0,82.0,83.0,84.0,84.0,84.0,83.0,82.0,80.0,75.0,72.0,68.0,65.0,58.0
2024-06-13 11:14:03,55.0,51.0,48.0,45.0,41.0,38.0,35.0,32.0,29.0,26.0,23.0,19.0,16.0,13.0,10.0,9.0,9.0,12.0,17.0,23.0,31.0,39.0,48.0,61.0,66.0,69.0,72.0,73.0,73.0,73.0,73.0,72.0,71.0,70.0,69.0,69.0,68.0,67.0,67.0,65.0,64.0,62.0,60.0,58.0,55.0,53.0,50.0,45.0,43.0,41.0,38.0,36.0,34.0,31.0,28.0,22.0,19.0,17.0,15.0,15.0
2024-06-13 11:14:04,18.0,22.0,29.0,36.0,45.0,53.0,60.0,66.0,71.0,74.0,76.0,76.0,75.0,74.0,73.0,71.0,70.0,69.0,69.0,68.0,67.0,66.0,65.0,64.0,62.0,60.0,58.0,55.0,53.0,50.0,48.0,46.0,43.0,41.0,36.0,34.0,31.0,28.0,24.0,21.0,18.0,16.0,15.0,16.0,19.0,25.0,32.0,40.0,48.0,56.0,63.0,68.0,72.0,74.0,75.0,75.0,73.0,71.0,69.0,68.0
2024-06-13 11:14:05,67.0,67.0,66.0,65.0,64.0,63.0,61.0,59.0,57.0,55.0,53.0,50.0,48.0,46.0,43.0,41.0,39.0,37.0,34.0,32.0,29.0,23.0,20.0,17.0,15.0,15.0,16.0,20.0,26.0,34.0,42.0,51.0,58.0,65.0,70.0,73.0,75.0,75.0,75.0,74.0,73.0,72.0,70.0,69.0,68.0,67.0,67.0,66.0,65.0,64.0,63.0,61.0,59.0,56.0,54.0,49.0,47.0,44.0,42.0,40.0
2024-06-13 11:14:06,38.0,35.0,33.0,30.0,30.0,27.0,24.0,21.0,18.0,16.0,17.0,21.0,27.0,35.0,43.0,52.0,59.0,66.0,70.0,74.0,75.0,76.0,75.0,74.0,72.0,70.0,69.0,67.0,66.0,65.0,64.0,63.0,63.0,60.0,59.0,57.0,55.0,53.0,51.0,48.0,46.0,44.0,42.0,40.0,39.0,37.0,35.0,32.0,30.0,27.0,24.0,21.0,18.0,16.0,16.0,18.0,36.0,36.0,45.0,53.0
2024-06-13 11:14:07,60.0,66.0,70.0,73.0,75.0,75.0,74.0,72.0,71.0,69.0,67.0,66.0,65.0,64.0,64.0,63.0,62.0,62.0,60.0,59.0,57.0,52.0,50.0,47.0,45.0,42.0,40.0,38.0,35.0,33.0,30.0,28.0,24.0,21.0,18.0,14.0,12.0,11.0,12.0,15.0,20.0,28.0,36.0,45.0,54.0,68.0,72.0,75.0,77.0,78.0,78.0,77.0,76.0,75.0,74.0,73.0,72.0,70.0,69.0,69.0
2024-06-13 11:14:08,68.0,67.0,65.0,64.0,61.0,59.0,56.0,53.0,51.0,45.0,42.0,39.0,37.0,34.0,31.0,27.0,24.0,20.0,15.0,11.0,8.0,6.0,6.0,9.0,14.0,22.0,31.0,40.0,40.0,50.0,59.0,66.0,72.0,76.0,79.0,82.0,82.0,81.0,80.0,79.0,77.0,76.0,74.0,72.0,71.0,69.0,68.0,66.0,64.0,62.0,60.0,57.0,55.0,52.0,50.0,47.0,44.0,42.0,36.0,31.0
2024-06-13 11:14:09,27.0,24.0,20.0,16.0,13.0,10.0,9.0,9.0,13.0,18.0,26.0,35.0,44.0,53.0,61.0,68.0,72.0,76.0,78.0,79.0,79.0,78.0,76.0,75.0,73.0,72.0,71.0,69.0,68.0,67.0,66.0,64.0,63.0,61.0,59.0,57.0,54.0,52.0,49.0,47.0,47.0,45.0,42.0,40.0,38.0,35.0,30.0,27.0,24.0,20.0,17.0,14.0,12.0,12.0,15.0,19.0,26.0,34.0,43.0,52.0
2024-06-13 11:14:10,67.0,72.0,76.0,78.0,78.0,78.0,78.0,77.0,76.0,74.0,71.0,70.0,69.0,68.0,67.0,66.0,64.0,63.0,62.0,60.0,58.0,56.0,54.0,52.0,50.0,48.0,46.0,44.0,42.0,40.0,38.0,35.0,33.0,30.0,24.0,20.0,17.0,15.0,14.0,14.0,18.0,23.0,30.0,38.0,47.0,55.0,62.0,68.0,72.0,74.0,75.0,75.0,74.0,72.0,71.0,69.0,68.0,67.0,65.0,65.0
2024-06-13 11:14:11,64.0,62.0,61.0,59.0,58.0,56.0,54.0,52.0,49.0,47.0,45.0,43.0,40.0,38.0,36.0,34.0,31.0,29.0,26.0,23.0,19.0,13.0,11.0,11.0,12.0,17.0,23.0,31.0,40.0,49.0,57.0,65.0,70.0,74.0,77.0,78.0,79.0,78.0,77.0,76.0,74.0,73.0,72.0,71.0,69.0,67.0,66.0,65.0,64.0,62.0,61.0,59.0,58.0,56.0,54.0,52.0,50.0,47.0,45.0,43.0
